1. System Initiated
2. Controller Starting
Time,Angle,Height,Error,PWM,StableCount,Reached
0.04,-60.54,0.24,0.25,255,0,0
0.08,-59.85,0.25,0.24,255,0,0
0.12,-60.19,0.24,0.25,255,0,0
0.16,-60.54,0.24,0.25,255,0,0
0.20,-61.23,0.24,0.25,255,0,0
0.24,-59.85,0.25,0.24,255,0,0
0.28,-60.19,0.24,0.25,255,0,0
0.32,-59.50,0.25,0.24,255,0,0
0.36,-59.16,0.25,0.24,255,0,0
0.40,-59.50,0.25,0.24,255,0,0
0.44,-58.81,0.25,0.24,255,0,0
0.48,-57.77,0.26,0.23,255,0,0
0.52,-57.43,0.26,0.23,255,0,0
0.56,-57.43,0.26,0.23,255,0,0
0.60,-56.73,0.27,0.22,255,0,0
0.64,-56.04,0.27,0.22,255,0,0
0.68,-55.70,0.28,0.21,255,0,0
0.72,-55.35,0.28,0.21,255,0,0
0.76,-54.31,0.29,0.20,255,0,0
0.80,-55.35,0.28,0.21,255,0,0
0.84,-54.31,0.29,0.20,255,0,0
0.88,-53.27,0.29,0.20,255,0,0
0.92,-52.24,0.30,0.19,255,0,0
0.96,-51.89,0.30,0.19,255,0,0
1.00,-51.20,0.31,0.18,255,0,0
1.04,-49.81,0.32,0.17,243,0,0
1.08,-48.43,0.33,0.17,231,0,0
1.12,-45.66,0.34,0.15,206,0,0
1.16,-46.70,0.34,0.15,215,0,0
1.20,-45.66,0.34,0.15,206,0,0
1.24,-44.62,0.35,0.14,198,0,0
1.28,-43.59,0.36,0.14,189,0,0
1.32,-43.59,0.36,0.14,189,0,0
1.36,-35.63,0.40,0.09,128,0,0
1.40,-39.78,0.38,0.11,159,0,0
1.44,-38.40,0.38,0.11,148,0,0
1.48,-37.70,0.39,0.10,143,0,0
1.52,-25.25,0.44,0.05,65,0,0
1.56,-37.01,0.39,0.10,138,0,0
1.60,-34.59,0.40,0.09,121,0,0
1.64,-35.97,0.40,0.09,131,0,0
1.68,-33.21,0.41,0.08,112,0,0
1.72,-32.51,0.41,0.08,107,0,0
1.76,-31.48,0.42,0.07,101,0,0
1.80,-28.71,0.43,0.06,84,0,0
1.84,-28.36,0.43,0.06,82,0,0
1.88,-26.98,0.44,0.05,74,0,0
1.92,-24.56,0.45,0.04,62,0,0
1.96,-28.36,0.43,0.06,82,0,0
2.00,-26.29,0.44,0.05,71,0,0
2.04,-25.25,0.44,0.05,65,0,0
2.08,-24.21,0.45,0.04,60,0,0
2.12,-24.56,0.45,0.04,62,0,0
2.16,-20.75,0.46,0.03,44,0,0
2.20,-23.17,0.45,0.04,55,0,0
2.24,-22.48,0.45,0.04,52,0,0
2.28,-21.44,0.46,0.03,47,0,0
2.32,-21.44,0.46,0.03,47,0,0
2.36,-20.75,0.46,0.03,44,0,0
2.40,-20.06,0.46,0.03,41,0,0
2.44,-19.71,0.46,0.03,40,1,0
2.48,-19.37,0.46,0.03,38,2,0
2.52,-19.02,0.46,0.03,37,3,0
2.56,-18.33,0.47,0.02,34,4,0
2.60,-16.94,0.47,0.02,29,5,0
2.64,-17.64,0.47,0.02,32,6,0
2.68,-16.94,0.47,0.02,29,7,0
2.72,-16.25,0.47,0.02,27,8,0
2.76,-15.91,0.47,0.02,26,9,0
2.80,-16.25,0.47,0.02,27,10,0
2.84,-15.91,0.47,0.02,26,11,0
2.88,-15.91,0.47,0.02,26,12,1
2.92,-14.87,0.47,0.02,23,13,1
2.96,-15.21,0.47,0.02,24,14,1
3.00,-15.21,0.47,0.02,24,15,1
3.04,-14.87,0.47,0.02,23,16,1
3.08,-15.56,0.47,0.02,25,17,1
3.12,-13.48,0.48,0.01,18,18,1
3.16,-14.52,0.48,0.02,21,19,1
3.20,-15.56,0.47,0.02,25,20,1
3.24,-14.52,0.48,0.02,21,21,1
3.28,-14.87,0.47,0.02,23,22,1
3.32,-14.87,0.47,0.02,23,23,1
3.36,-15.21,0.47,0.02,24,24,1
3.40,-14.52,0.48,0.02,21,25,1
3.44,-15.21,0.47,0.02,24,26,1
3.48,-15.91,0.47,0.02,26,27,1
3.52,-15.91,0.47,0.02,26,28,1
3.56,-16.25,0.47,0.02,27,29,1
3.60,-16.60,0.47,0.02,28,30,1
3.64,-16.25,0.47,0.02,27,31,1
3.68,-17.29,0.47,0.02,31,32,1
3.72,-16.60,0.47,0.02,28,33,1
3.76,-18.33,0.47,0.02,34,34,1
3.80,-17.98,0.47,0.02,33,35,1
3.84,-18.33,0.47,0.02,34,36,1
3.88,-19.02,0.46,0.03,37,37,1
3.92,-18.33,0.47,0.02,34,38,1
3.96,-19.37,0.46,0.03,38,39,1
4.00,-19.71,0.46,0.03,40,40,1
4.04,-20.75,0.46,0.03,44,41,1
4.08,-20.75,0.46,0.03,44,0,1
4.12,-21.10,0.46,0.03,46,0,1
4.16,-21.79,0.46,0.04,49,0,1
4.20,-22.83,0.45,0.04,53,0,1
4.24,-22.83,0.45,0.04,53,0,1
4.28,-23.17,0.45,0.04,55,0,1
4.32,-24.21,0.45,0.04,60,0,1
4.36,-25.25,0.44,0.05,65,0,1
4.40,-24.90,0.45,0.05,63,0,1
4.44,-23.17,0.45,0.04,55,0,1
4.48,-26.63,0.44,0.05,72,0,1
4.52,-9.33,0.48,0.01,9,0,1
4.56,-24.21,0.45,0.04,60,1,1
4.60,-29.05,0.43,0.06,86,0,1
4.64,-28.71,0.43,0.06,84,0,1
4.68,-29.75,0.43,0.06,90,0,1
4.72,-29.05,0.43,0.06,86,0,1
4.76,-29.40,0.43,0.06,88,0,1
4.80,-32.17,0.42,0.08,105,0,1
4.84,-32.17,0.42,0.08,105,0,1
4.88,-33.21,0.41,0.08,112,0,1
4.92,-33.21,0.41,0.08,112,0,1
4.96,-33.21,0.41,0.08,112,0,1
4. Shutdown
Time to reach target height: 2.84
Maximum Error: 0.08
